PRODUTO;COD_PRODUTO;CATEGORIA;MODALIDADE;COBERTURA;OUTRA_COBERTURA;COBERTURAS_ADICIONAIS;ASSISTENCIAS;ASSISTENCIAS_ADICIONAIS;CD_SUSEP;CONDICOES_GERAIS;FORMA_INDENIZACAO;FREQUENCIA_INDENIZACAO;MODALIDADE_INDENIZACAO;TIPO_RENDA;VALOR_MINIMO;VALOR_MINIMO_UNIDADE;VALOR_MINIMO_MOEDA_DESCRICAO;VALOR_MAXIMO;VALOR_MAXIMO_UNIDADE;VALOR_MAXIMO_MOEDA_DESCRICAO;PERIODO_INDENIZAVEL;NUMERO_MAXIMO_PARCELAS_INDENIZAVEIS;MOEDA;PERIODO_CARENCIA;PERIODO_CARENCIA_UNIDADE;PERIODO_CARENCIA_DIFERENCIADO;PERIODO_CARENCIA_DIFERENCIADO_UNIDADE;FRANQUIA_DIAS;FRANQUIA_DIAS_DIFERENCIA;FRANQUIA_REAIS;FRANQUIA_REAIS_DIFERENCIADA;RISCOS_EXCLUIDOS;RISCOS_EXCLUIDOS_URL;CONTRATACAO_ISOLADA;CAPITAL_GLOBAL;VIGENCIA;TAXA_JUROS;INDICE_PMBAC;CRITERIO;INDICE_ATUALIZACAO;CRITERIO_REENQUADRAMENTO;PERIODICIDADE_REENQUADRAMENTO;REGIME_FINANCEIRO;MES_INICIAL_RANGE;MES_FINAL_RANGE;PERCENTUAL_RESGATE;PERCENTUAL_DIFERENCIADO;CRITERIO_CARENCIA_RESGATE;CRITERIO_CARENCIA_RESGATE_UNIDADE;OUTROS_VALORES_GARANTIDOS;PORTABILIDADE;CRITERIO_PORTABILIDADE;CRITERIO_PORTABILIDADE_UNIDADE;MEIO_PAGAMENTO;PERIODICIDADE_PAGAMENTO;TAXA_PREMIO;TIPO_CONTRATACAO;REQ_MINIMO_CONTRATACAO;PUBLICO_ALVO;
MULTIPLANO GERACAO 3 BRADESCO;519;TRADICIONAL;VIDA;;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO-SORTEIO (GRATUITO);FUNERAL;;15414.901694/2018-47;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/MULTIPLANO-GERACAO-3-BRADESCO;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;TEMPORARIA - PRAZO FIXO;3.00;IPCA (IBGE);INDICE;IPCA (IBGE);NAO APLICAVEL;;CAPITALIZACAO;1;999;100;;10;MESES;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
MULTIPLANO GERACAO 3 BRADESCO;519;TRADICIONAL;VIDA;MORTE;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO-SORTEIO (GRATUITO);;;15414.901694/2018-47;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/MULTIPLANO-GERACAO-3-BRADESCO;PAGAMENTO DO CAPITAL SEGURADO EM VALOR MONETARIO;INDENIZACAO UNICA;UNICO;CERTA;50000.00;R$;REAL;6000000.00;R$;REAL;ATE O FIM DE CICLO DETERMINADO;;BRL;24;MESES;;;0;;0;;ATO_RECONHECIMENTO_PERIGOSO-ATO_ILICITO_DOLOSO_PRATICADO_SEGURADO-OPERACOES_DE_GUERRA-FURACOES_CICLONES_TERREMOTOS-MATERIAL_NUCLEAR-DOENCAS_LESOES_PREEXISTENTES-EPIDEMIAS_PANDEMIAS-SUICIDIO-ATO_ILICITO_DOLOSO_PRATICADO_CONTROLADOR;;TRUE;FALSE;TEMPORARIA - PRAZO FIXO;3.00;IPCA (IBGE);INDICE;IPCA (IBGE);NAO APLICAVEL;;CAPITALIZACAO;1;999;100;;10;MESES;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
AP MODULAR PREMIAVEL BRADESCO;541;TRADICIONAL;ACIDENTES PESSOAIS;;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO-SORTEIO (GRATUITO);FUNERAL;;15414.002331/2002-60;NAO INFORMADO;;;;;;;;;;;;;;;;;;;;;;;;;FALSE;TEMPORARIA - PRAZO FIXO;;;INDICE;IGP-M (FGV);NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
AP MODULAR PREMIAVEL BRADESCO;541;TRADICIONAL;ACIDENTES PESSOAIS;MORTE ACIDENTAL;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO-SORTEIO (GRATUITO);;;15414.002331/2002-60;NAO INFORMADO;PAGAMENTO DO CAPITAL SEGURADO EM VALOR MONETARIO;INDENIZACAO UNICA;UNICO;CERTA;1.00;R$;REAL;10000000.00;R$;REAL;ATE O FIM DE CICLO DETERMINADO;;BRL;;NAO SE APLICA;;;0;;0;;ATO_RECONHECIMENTO_PERIGOSO-ATO_ILICITO_DOLOSO_PRATICADO_SEGURADO-OPERACOES_DE_GUERRA-FURACOES_CICLONES_TERREMOTOS-MATERIAL_NUCLEAR-DOENCAS_LESOES_PREEXISTENTES-EPIDEMIAS_PANDEMIAS-SUICIDIO-ATO_ILICITO_DOLOSO_PRATICADO_CONTROLADOR;;TRUE;FALSE;TEMPORARIA - PRAZO FIXO;;;INDICE;IGP-M (FGV);NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
SEGURO VIAGEM SHOPPING DE SEGUROS ;590;TRADICIONAL;VIAGEM;;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO;VIAGEM;;15414.900006/2016-60;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/SEGURO-VIAGEM-BRADESCO;;;;;;;;;;;;;;;;;;;;;;;;;TRUE;TEMPORARIA - PRAZO FIXO;;;;;NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
SEGURO VIAGEM SHOPPING DE SEGUROS ;590;TRADICIONAL;VIAGEM;CANCELAMENTO DE VIAGEM;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO;;;15414.900006/2016-60;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/SEGURO-VIAGEM-BRADESCO;REEMBOLSO DE DESPESAS;INDENIZACAO UNICA;UNICO;CERTA;1.00;R$;REAL;10000000.00;R$;REAL;ATE O FIM DE CICLO DETERMINADO;;BRL;;NAO SE APLICA;;;0;;0;;ATO_RECONHECIMENTO_PERIGOSO-ATO_ILICITO_DOLOSO_PRATICADO_SEGURADO-OPERACOES_DE_GUERRA-FURACOES_CICLONES_TERREMOTOS-MATERIAL_NUCLEAR-DOENCAS_LESOES_PREEXISTENTES-EPIDEMIAS_PANDEMIAS-SUICIDIO-ATO_ILICITO_DOLOSO_PRATICADO_CONTROLADOR;;FALSE;TRUE;TEMPORARIA - PRAZO FIXO;;;;;NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
SEGURO VIAGEM SHOPPING DE SEGUROS ;590;TRADICIONAL;VIAGEM;DESPESAS MEDICAS HOSPITALARES E/OU ODONTOLOGICAS;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO;;;15414.900006/2016-60;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/SEGURO-VIAGEM-BRADESCO;REEMBOLSO DE DESPESAS;INDENIZACAO UNICA;UNICO;CERTA;1.00;R$;REAL;10000000.00;R$;REAL;ATE O FIM DE CICLO DETERMINADO;;BRL;;NAO SE APLICA;;;0;;0;;ATO_RECONHECIMENTO_PERIGOSO-ATO_ILICITO_DOLOSO_PRATICADO_SEGURADO-OPERACOES_DE_GUERRA-FURACOES_CICLONES_TERREMOTOS-MATERIAL_NUCLEAR-DOENCAS_LESOES_PREEXISTENTES-EPIDEMIAS_PANDEMIAS-SUICIDIO-ATO_ILICITO_DOLOSO_PRATICADO_CONTROLADOR;;FALSE;TRUE;TEMPORARIA - PRAZO FIXO;;;;;NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
SEGURO VIAGEM SHOPPING DE SEGUROS ;590;TRADICIONAL;VIAGEM;INVALIDEZ TOTAL POR ACIDENTE;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO;;;15414.900006/2016-60;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/SEGURO-VIAGEM-BRADESCO;PAGAMENTO DO CAPITAL SEGURADO EM VALOR MONETARIO;INDENIZACAO UNICA;UNICO;CERTA;1.00;R$;REAL;10000000.00;R$;REAL;ATE O FIM DE CICLO DETERMINADO;;BRL;;NAO SE APLICA;;;0;;0;;ATO_RECONHECIMENTO_PERIGOSO-ATO_ILICITO_DOLOSO_PRATICADO_SEGURADO-OPERACOES_DE_GUERRA-FURACOES_CICLONES_TERREMOTOS-MATERIAL_NUCLEAR-DOENCAS_LESOES_PREEXISTENTES-EPIDEMIAS_PANDEMIAS-SUICIDIO-ATO_ILICITO_DOLOSO_PRATICADO_CONTROLADOR;;FALSE;TRUE;TEMPORARIA - PRAZO FIXO;;;;;NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
SEGURO VIAGEM SHOPPING DE SEGUROS ;590;TRADICIONAL;VIAGEM;MORTE;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO;;;15414.900006/2016-60;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/SEGURO-VIAGEM-BRADESCO;PAGAMENTO DO CAPITAL SEGURADO EM VALOR MONETARIO;INDENIZACAO UNICA;UNICO;CERTA;1.00;R$;REAL;10000000.00;R$;REAL;ATE O FIM DE CICLO DETERMINADO;;BRL;;NAO SE APLICA;;;0;;0;;ATO_RECONHECIMENTO_PERIGOSO-ATO_ILICITO_DOLOSO_PRATICADO_SEGURADO-OPERACOES_DE_GUERRA-FURACOES_CICLONES_TERREMOTOS-MATERIAL_NUCLEAR-DOENCAS_LESOES_PREEXISTENTES-EPIDEMIAS_PANDEMIAS-SUICIDIO-ATO_ILICITO_DOLOSO_PRATICADO_CONTROLADOR;;TRUE;TRUE;TEMPORARIA - PRAZO FIXO;;;;;NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
SEGURO VIAGEM SHOPPING DE SEGUROS ;590;TRADICIONAL;VIAGEM;MORTE ACIDENTAL;;SERVICOS DE ASSISTENCIA COMPLEMENTARES   GRATUITO;;;15414.900006/2016-60;HTTPS://WWW.BRADESCOSEGUROS.COM.BR/CLIENTES/PRODUTOS/SEGURO-DE-VIDA/SEGURO-VIAGEM-BRADESCO;PAGAMENTO DO CAPITAL SEGURADO EM VALOR MONETARIO;INDENIZACAO UNICA;UNICO;CERTA;1.00;R$;REAL;10000000.00;R$;REAL;ATE O FIM DE CICLO DETERMINADO;;BRL;;NAO SE APLICA;;;0;;0;;ATO_RECONHECIMENTO_PERIGOSO-ATO_ILICITO_DOLOSO_PRATICADO_SEGURADO-OPERACOES_DE_GUERRA-FURACOES_CICLONES_TERREMOTOS-MATERIAL_NUCLEAR-DOENCAS_LESOES_PREEXISTENTES-EPIDEMIAS_PANDEMIAS-SUICIDIO-ATO_ILICITO_DOLOSO_PRATICADO_CONTROLADOR;;TRUE;TRUE;TEMPORARIA - PRAZO FIXO;;;;;NAO APLICAVEL;;REPARTICAO CAPITAIS;;;;;;;NAO SE APLICA;FALSE;;;BOLETO BANCARIO-CARTAO DE CREDITO-CARTAO DE DEBITO-CONSIGNACAO EM FOLHA DE PAGAMENTO-DE ACORDO COM A REGRA DO PARCEIRO-DEBITO EM CONTA-DEBITO EM CONTA POUPANCA;ANUAL-MENSAL-OUTRA-SEMESTRAL-TRIMESTRAL-UNICA;;INDIVIDUAL;CONFORME CONDICOES GERAIS;PESSOA NATURAL;
